source_node_id,target_node_id,relationship_type,evidence
76,3,herb_has_action,inferred
76,5,herb_has_action,inferred
76,8,herb_has_action,inferred
77,1,herb_has_action,inferred
77,2,herb_has_action,inferred
77,5,herb_has_action,inferred
77,6,herb_has_action,inferred
77,7,herb_has_action,inferred
77,10,herb_has_action,prabhava
78,1,herb_has_action,inferred
78,5,herb_has_action,inferred
78,6,herb_has_action,inferred
78,8,herb_has_action,inferred
79,1,herb_has_action,inferred
79,3,herb_has_action,inferred
79,10,herb_has_action,prabhava
80,1,herb_has_action,inferred
80,2,herb_has_action,inferred
80,4,herb_has_action,inferred
80,7,herb_has_action,inferred
81,1,herb_has_action,inferred
81,5,herb_has_action,inferred
81,7,herb_has_action,inferred
82,1,herb_has_action,inferred
82,5,herb_has_action,inferred
82,7,herb_has_action,inferred
82,8,herb_has_action,inferred
83,1,herb_has_action,inferred
83,2,herb_has_action,inferred
83,4,herb_has_action,inferred
83,6,herb_has_action,inferred
83,7,herb_has_action,inferred
83,8,herb_has_action,inferred
83,3,herb_has_action,prabhava
84,1,herb_has_action,inferred
84,2,herb_has_action,inferred
84,3,herb_has_action,inferred
84,4,herb_has_action,inferred
84,5,herb_has_action,inferred
84,10,herb_has_action,prabhava
85,1,herb_has_action,inferred
85,7,herb_has_action,inferred
86,1,herb_has_action,inferred
86,3,herb_has_action,inferred
86,6,herb_has_action,inferred
86,8,herb_has_action,inferred
87,1,herb_has_action,inferred
87,3,herb_has_action,inferred
87,5,herb_has_action,inferred
88,1,herb_has_action,inferred
88,3,herb_has_action,prabhava
89,1,herb_has_action,inferred
89,2,herb_has_action,inferred
89,6,herb_has_action,inferred
89,8,herb_has_action,inferred
90,1,herb_has_action,inferred
90,3,herb_has_action,inferred
90,5,herb_has_action,inferred
90,10,herb_has_action,prabhava
91,1,herb_has_action,inferred
91,2,herb_has_action,inferred
91,4,herb_has_action,inferred
91,7,herb_has_action,inferred
92,1,herb_has_action,inferred
92,2,herb_has_action,inferred
92,6,herb_has_action,inferred
92,10,herb_has_action,prabhava
93,1,herb_has_action,inferred
93,2,herb_has_action,inferred
93,6,herb_has_action,inferred
93,7,herb_has_action,inferred
93,8,herb_has_action,inferred
93,3,herb_has_action,prabhava
94,1,herb_has_action,inferred
94,4,herb_has_action,inferred
94,6,herb_has_action,inferred
94,8,herb_has_action,inferred
94,2,herb_has_action,prabhava
95,1,herb_has_action,inferred
95,4,herb_has_action,inferred
95,5,herb_has_action,inferred
95,6,herb_has_action,inferred
96,1,herb_has_action,inferred
96,2,herb_has_action,inferred
96,3,herb_has_action,inferred
96,4,herb_has_action,inferred
96,5,herb_has_action,inferred
96,6,herb_has_action,inferred
97,1,herb_has_action,inferred
97,2,herb_has_action,inferred
97,3,herb_has_action,inferred
97,6,herb_has_action,inferred
98,1,herb_has_action,inferred
98,4,herb_has_action,inferred
98,6,herb_has_action,inferred
98,8,herb_has_action,inferred
98,10,herb_has_action,prabhava
99,1,herb_has_action,inferred
99,2,herb_has_action,inferred
99,4,herb_has_action,inferred
99,5,herb_has_action,inferred
99,7,herb_has_action,inferred
99,8,herb_has_action,inferred
100,1,herb_has_action,inferred
100,2,herb_has_action,inferred
100,3,herb_has_action,inferred
100,4,herb_has_action,inferred
100,5,herb_has_action,inferred
100,6,herb_has_action,inferred
101,1,herb_has_action,inferred
101,2,herb_has_action,inferred
101,6,herb_has_action,inferred
102,1,herb_has_action,inferred
102,3,herb_has_action,inferred
102,6,herb_has_action,inferred
102,7,herb_has_action,inferred
102,8,herb_has_action,inferred
102,10,herb_has_action,prabhava
103,1,herb_has_action,inferred
103,3,herb_has_action,inferred
103,4,herb_has_action,inferred
103,7,herb_has_action,inferred
104,1,herb_has_action,inferred
104,3,herb_has_action,inferred
104,2,herb_has_action,prabhava
105,1,herb_has_action,inferred
105,2,herb_has_action,inferred
105,3,herb_has_action,inferred
105,6,herb_has_action,inferred
105,7,herb_has_action,inferred
106,1,herb_has_action,inferred
106,2,herb_has_action,inferred
106,3,herb_has_action,inferred
106,6,herb_has_action,inferred
107,1,herb_has_action,inferred
107,3,herb_has_action,inferred
107,5,herb_has_action,inferred
107,7,herb_has_action,inferred
108,1,herb_has_action,inferred
108,3,herb_has_action,inferred
109,1,herb_has_action,inferred
109,6,herb_has_action,inferred
110,1,herb_has_action,inferred
110,3,herb_has_action,inferred
110,6,herb_has_action,inferred
110,7,herb_has_action,inferred
111,1,herb_has_action,inferred
111,4,herb_has_action,inferred
111,6,herb_has_action,inferred
112,7,herb_has_action,inferred
113,1,herb_has_action,inferred
113,2,herb_has_action,inferred
113,3,herb_has_action,inferred
113,8,herb_has_action,inferred
114,1,herb_has_action,inferred
114,2,herb_has_action,inferred
114,3,herb_has_action,prabhava
115,1,herb_has_action,inferred
115,4,herb_has_action,inferred
116,1,herb_has_action,inferred
116,3,herb_has_action,inferred
117,1,herb_has_action,inferred
117,4,herb_has_action,inferred
117,8,herb_has_action,inferred
118,1,herb_has_action,inferred
118,4,herb_has_action,inferred
118,3,herb_has_action,prabhava
119,1,herb_has_action,inferred
119,2,herb_has_action,inferred
119,4,herb_has_action,inferred
119,7,herb_has_action,inferred
119,8,herb_has_action,inferred
120,1,herb_has_action,inferred
120,4,herb_has_action,inferred
120,5,herb_has_action,inferred
120,6,herb_has_action,inferred
120,8,herb_has_action,inferred
121,1,herb_has_action,inferred
121,2,herb_has_action,inferred
121,3,herb_has_action,inferred
121,6,herb_has_action,inferred
121,7,herb_has_action,inferred
122,1,herb_has_action,inferred
122,2,herb_has_action,inferred
122,6,herb_has_action,inferred
122,8,herb_has_action,inferred
123,1,herb_has_action,inferred
123,2,herb_has_action,inferred
123,6,herb_has_action,inferred
124,1,herb_has_action,inferred
124,2,herb_has_action,inferred
124,5,herb_has_action,inferred
124,6,herb_has_action,inferred
125,1,herb_has_action,inferred
125,2,herb_has_action,inferred
125,5,herb_has_action,inferred
125,6,herb_has_action,inferred
126,2,herb_has_action,inferred
126,5,herb_has_action,inferred
126,6,herb_has_action,inferred
127,1,herb_has_action,inferred
127,2,herb_has_action,inferred
127,3,herb_has_action,inferred
127,5,herb_has_action,inferred
127,6,herb_has_action,inferred
127,7,herb_has_action,inferred
128,1,herb_has_action,inferred
128,4,herb_has_action,inferred
128,10,herb_has_action,prabhava
129,1,herb_has_action,inferred
129,6,herb_has_action,inferred
129,8,herb_has_action,inferred
130,1,herb_has_action,inferred
130,3,herb_has_action,inferred
130,6,herb_has_action,inferred
130,7,herb_has_action,inferred
130,2,herb_has_action,prabhava
131,1,herb_has_action,inferred
131,3,herb_has_action,inferred
131,6,herb_has_action,inferred
131,7,herb_has_action,inferred
132,1,herb_has_action,inferred
132,2,herb_has_action,inferred
132,5,herb_has_action,inferred
132,6,herb_has_action,inferred
132,8,herb_has_action,inferred
133,1,herb_has_action,inferred
133,3,herb_has_action,inferred
133,4,herb_has_action,inferred
133,5,herb_has_action,inferred
133,6,herb_has_action,inferred
